MaxPool,UINT8(20),,
Add,UINT8(18),,
Concat,UINT8(9),,
GlobalAveragePool,UINT8(1),,
Squeeze,UINT8(1),,
MatMul,UINT8(1),INT8(1),

,,calibration: compute data,68.35
calibration (collect data + compute data),86.78
static quantization,1.13
post process(including finetuning),0.00
e2e,95.00559800000337

Node Name,Op Type,Activation,Weights,Bias
nasbench_model_1/stem_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s0_m0_v4_inproj_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s0_m0_v1_inproj_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s0_m0_out_inproj_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s0_m0_v1_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s0_m0_v2_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s0_m0_v3_maxpool_1/MaxPool2d,MaxPool,UINT8,,
nasbench_model_1/s0_m0_v4_add_1/Add,Add,UINT8,,
nasbench_model_1/s0_m0_v4_maxpool_1/MaxPool2d,MaxPool,UINT8,,
nasbench_model_1/s0_m0_v5_add_1/Add,Add,UINT8,,
nasbench_model_1/s0_m0_v5_maxpool_1/MaxPool2d,MaxPool,UINT8,,
nasbench_model_1/s0_m0_out_add_1/Add,Add,UINT8,,
nasbench_model_1/s0_m1_v4_inproj_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s0_m1_v1_inproj_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s0_m1_out_inproj_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s0_m1_v1_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s0_m1_v2_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s0_m1_v3_maxpool_1/MaxPool2d,MaxPool,UINT8,,
nasbench_model_1/s0_m1_v4_add_1/Add,Add,UINT8,,
nasbench_model_1/s0_m1_v4_maxpool_1/MaxPool2d,MaxPool,UINT8,,
nasbench_model_1/s0_m1_v5_add_1/Add,Add,UINT8,,
nasbench_model_1/s0_m1_v5_maxpool_1/MaxPool2d,MaxPool,UINT8,,
nasbench_model_1/s0_m1_out_add_1/Add,Add,UINT8,,
nasbench_model_1/s0_m2_v4_inproj_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s0_m2_v1_inproj_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s0_m2_out_inproj_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s0_m2_v1_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s0_m2_v2_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s0_m2_v3_maxpool_1/MaxPool2d,MaxPool,UINT8,,
nasbench_model_1/s0_m2_v4_add_1/Add,Add,UINT8,,
nasbench_model_1/s0_m2_v4_maxpool_1/MaxPool2d,MaxPool,UINT8,,
nasbench_model_1/s0_m2_v5_add_1/Add,Add,UINT8,,
nasbench_model_1/s0_m2_v5_maxpool_1/MaxPool2d,MaxPool,UINT8,,
nasbench_model_1/s0_m2_out_add_1/Add,Add,UINT8,,
nasbench_model_1/downsample1_1/MaxPool2d,MaxPool,UINT8,,
nasbench_model_1/s1_m0_v4_inproj_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s1_m0_v1_inproj_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s1_m0_out_inproj_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s1_m0_v1_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s1_m0_v2_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s1_m0_v3_maxpool_1/MaxPool2d,MaxPool,UINT8,,
nasbench_model_1/s1_m0_v4_add_1/Add,Add,UINT8,,
nasbench_model_1/s1_m0_v4_maxpool_1/MaxPool2d,MaxPool,UINT8,,
nasbench_model_1/s1_m0_v5_add_1/Add,Add,UINT8,,
nasbench_model_1/s1_m0_v5_maxpool_1/MaxPool2d,MaxPool,UINT8,,
nasbench_model_1/s1_m0_out_add_1/Add,Add,UINT8,,
nasbench_model_1/s1_m1_v4_inproj_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s1_m1_v1_inproj_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s1_m1_out_inproj_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s1_m1_v1_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s1_m1_v2_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s1_m1_v3_maxpool_1/MaxPool2d,MaxPool,UINT8,,
nasbench_model_1/s1_m1_v4_add_1/Add,Add,UINT8,,
nasbench_model_1/s1_m1_v4_maxpool_1/MaxPool2d,MaxPool,UINT8,,
nasbench_model_1/s1_m1_v5_add_1/Add,Add,UINT8,,
nasbench_model_1/s1_m1_v5_maxpool_1/MaxPool2d,MaxPool,UINT8,,
nasbench_model_1/s1_m1_out_add_1/Add,Add,UINT8,,
nasbench_model_1/s1_m2_v4_inproj_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s1_m2_v1_inproj_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s1_m2_out_inproj_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s1_m2_v1_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s1_m2_v2_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s1_m2_v3_maxpool_1/MaxPool2d,MaxPool,UINT8,,
nasbench_model_1/s1_m2_v4_add_1/Add,Add,UINT8,,
nasbench_model_1/s1_m2_v4_maxpool_1/MaxPool2d,MaxPool,UINT8,,
nasbench_model_1/s1_m2_v5_add_1/Add,Add,UINT8,,
nasbench_model_1/s1_m2_v5_maxpool_1/MaxPool2d,MaxPool,UINT8,,
nasbench_model_1/s1_m2_out_add_1/Add,Add,UINT8,,
nasbench_model_1/downsample2_1/MaxPool2d,MaxPool,UINT8,,
nasbench_model_1/s2_m0_v4_inproj_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s2_m0_v1_inproj_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s2_m0_out_inproj_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s2_m0_v1_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s2_m0_v2_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s2_m0_v3_maxpool_1/MaxPool2d,MaxPool,UINT8,,
nasbench_model_1/s2_m0_v4_add_1/Add,Add,UINT8,,
nasbench_model_1/s2_m0_v4_maxpool_1/MaxPool2d,MaxPool,UINT8,,
nasbench_model_1/s2_m0_v5_add_1/Add,Add,UINT8,,
nasbench_model_1/s2_m0_v5_maxpool_1/MaxPool2d,MaxPool,UINT8,,
nasbench_model_1/s2_m0_out_add_1/Add,Add,UINT8,,
nasbench_model_1/s2_m1_v4_inproj_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s2_m1_v1_inproj_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s2_m1_out_inproj_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s2_m1_v1_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s2_m1_v2_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s2_m1_v3_maxpool_1/MaxPool2d,MaxPool,UINT8,,
nasbench_model_1/s2_m1_v4_add_1/Add,Add,UINT8,,
nasbench_model_1/s2_m1_v4_maxpool_1/MaxPool2d,MaxPool,UINT8,,
nasbench_model_1/s2_m1_v5_add_1/Add,Add,UINT8,,
nasbench_model_1/s2_m1_v5_maxpool_1/MaxPool2d,MaxPool,UINT8,,
nasbench_model_1/s2_m1_out_add_1/Add,Add,UINT8,,
nasbench_model_1/s2_m2_v4_inproj_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s2_m2_v1_inproj_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s2_m2_out_inproj_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s2_m2_v1_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s2_m2_v2_bn_1/batchnorm/mul_1,Conv,UINT8,INT8,
nasbench_model_1/s2_m2_v3_maxpool_1/MaxPool2d,MaxPool,UINT8,,
nasbench_model_1/s2_m2_v4_add_1/Add,Add,UINT8,,
nasbench_model_1/s2_m2_v4_maxpool_1/MaxPool2d,MaxPool,UINT8,,
nasbench_model_1/s2_m2_v5_add_1/Add,Add,UINT8,,
nasbench_model_1/s2_m2_v5_maxpool_1/MaxPool2d,MaxPool,UINT8,,
nasbench_model_1/s2_m2_out_add_1/Add,Add,UINT8,,
nasbench_model_1/gap_1/Mean,GlobalAveragePool,UINT8,,
nasbench_model_1/gap_1/Mean_Squeeze__36272,Squeeze,UINT8,,
nasbench_model_1/logits_1/MatMul,MatMul,UINT8,INT8,

Op Type,Activation,Weights,Bias
Conv,UINT8(46),INT8(46),
MaxPool,UINT8(29),,
Add,UINT8(27),,
GlobalAveragePool,UINT8(1),,
Squeeze,UINT8(1),,
MatMul,UINT8(1),INT8(1),

